882 4711
 1 2 0.444444
 1 3 0.444444
 1 4 0.444444
 1 5 0.444444
 1 857 1.000000
 2 3 0.444444
 2 176 1.000000
 3 249 1.000000
 4 5 1.048889
 4 6 0.160000
 4 8 0.160000
 4 11 1.444444
 4 858 0.160000
 5 6 1.160000
 5 8 0.160000
 5 11 1.444444
 5 858 0.160000
 6 7 1.000000
 6 8 0.160000
 6 858 0.160000
 7 114 0.015625
 7 444 0.015625
 7 448 0.015625
 7 451 0.015625
 7 467 0.250000
 7 504 0.250000
 7 731 0.015625
 7 732 0.015625
 7 733 0.015625
 7 734 0.015625
 7 735 0.015625
 7 736 0.015625
 7 737 0.015625
 7 738 0.015625
 7 739 0.015625
 7 740 0.015625
 7 741 0.015625
 7 881 0.250000
 8 9 1.000000
 8 93 0.444444
 8 674 0.250000
 8 698 0.444444
 8 719 0.250000
 8 762 0.250000
 8 858 0.160000
 9 10 1.000000
 9 12 1.000000
 10 142 0.013841
 10 161 0.013841
 10 234 0.013841
 10 364 0.013841
 10 365 0.013841
 10 386 0.013841
 10 387 0.013841
 10 451 0.013841
 10 457 0.013841
 10 467 0.013841
 10 493 0.013841
 10 522 0.013841
 10 608 0.013841
 10 627 0.013841
 10 699 0.013841
 10 748 0.013841
 12 115 0.033058
 12 117 0.033058
 12 134 0.033058
 12 446 0.033058
 12 450 0.033058
 12 453 0.033058
 12 455 0.033058
 12 464 0.033058
 12 468 0.033058
 12 639 0.033058
 13 14 0.290000
 13 15 0.290000
 13 16 0.040000
 13 17 1.049383
 13 21 0.049383
 13 29 0.049383
 13 34 0.049383
 13 37 0.250000
 13 45 0.049383
 13 46 0.040000
 13 49 0.049383
 13 51 0.040000
 13 52 0.040000
 13 62 0.089383
 13 65 0.493827
 13 114 0.040000
 13 119 0.040000
 13 842 0.444444
 14 15 0.290000
 14 16 0.040000
 14 18 1.444444
 14 23 0.444444
 14 24 1.000000
 14 37 0.250000
 14 46 0.040000
 14 51 0.040000
 14 52 0.040000
 14 62 0.040000
 14 114 0.040000
 14 119 0.040000
 15 16 0.040000
 15 19 1.250000
 15 30 0.160000
 15 34 0.250000
 15 37 0.250000
 15 46 0.040000
 15 51 0.040000
 15 52 0.040000
 15 62 0.040000
 15 64 0.250000
 15 109 0.160000
 15 113 0.160000
 15 114 0.040000
 15 119 0.040000
 15 844 0.160000
 16 22 1.000000
 16 35 0.250000
 16 37 0.020408
 16 46 0.040000
 16 51 0.040000
 16 52 0.040000
 16 62 0.040000
 16 114 0.040000
 16 118 0.250000
 16 119 0.060408
 16 143 0.250000
 16 152 0.020408
 16 159 0.020408
 16 317 0.020408
 16 333 0.020408
 16 337 0.020408
 16 338 0.020408
 16 339 0.020408
 16 340 0.020408
 16 341 0.020408
 16 459 0.020408
 16 570 0.020408
 17 18 0.111111
 17 19 0.111111
 17 21 0.049383
 17 29 0.049383
 17 34 0.049383
 17 36 1.000000
 17 45 0.049383
 17 49 0.049383
 17 62 0.049383
 17 65 0.049383
 17 317 0.444444
 17 330 0.111111
 17 347 0.444444
 17 451 0.111111
 17 456 0.111111
 18 19 0.111111
 18 23 0.444444
 18 30 1.000000
 18 138 0.020408
 18 141 0.020408
 18 148 0.020408
 18 154 0.020408
 18 155 0.020408
 18 318 0.020408
 18 319 0.020408
 18 320 0.020408
 18 321 0.020408
 18 322 0.020408
 18 328 0.020408
 18 330 0.111111
 18 335 0.020408
 18 451 0.111111
 18 456 0.111111
 18 663 0.020408
 19 21 0.111111
 19 25 1.000000
 19 34 0.250000
 19 64 0.250000
 19 140 0.111111
 19 156 0.111111
 19 330 0.111111
 19 347 0.111111
 19 451 0.111111
 19 456 0.111111
 19 729 0.111111
 20 22 1.000000
 20 25 0.081633
 20 26 0.049383
 20 28 0.081633
 20 33 0.081633
 20 74 0.081633
 20 79 0.081633
 20 86 0.081633
 20 111 0.081633
 20 446 0.049383
 20 450 0.049383
 20 451 0.049383
 20 455 0.049383
 20 457 0.049383
 20 463 0.049383
 20 490 0.081633
 20 508 0.081633
 20 510 0.160000
 20 513 0.081633
 20 515 0.160000
 20 519 0.160000
 20 520 0.160000
 20 572 0.081633
 20 697 0.049383
 20 845 0.081633
 21 22 0.444444
 21 24 0.250000
 21 25 0.250000
 21 26 1.000000
 21 29 0.299383
 21 34 0.049383
 21 45 0.049383
 21 49 0.049383
 21 58 0.444444
 21 62 0.049383
 21 65 0.049383
 21 140 0.111111
 21 156 0.111111
 21 347 0.111111
 21 729 0.111111
 22 31 1.000000
 22 58 0.444444
 23 24 1.000000
 23 26 0.444444
 23 66 0.444444
 23 150 1.000000
 24 25 0.250000
 24 29 0.250000
 24 126 0.111111
 24 127 0.111111
 24 129 0.111111
 24 311 0.111111
 24 723 0.111111
 25 27 1.000000
 25 28 0.081633
 25 29 0.250000
 25 74 0.081633
 25 79 0.081633
 25 86 0.081633
 25 111 0.081633
 26 28 1.000000
 26 66 0.444444
 26 446 0.049383
 26 450 0.049383
 26 451 0.049383
 26 455 0.049383
 26 457 0.049383
 26 463 0.049383
 26 697 0.049383
 27 32 0.444444
 27 101 0.444444
 28 64 0.444444
 28 74 0.081633
 28 79 0.081633
 28 86 0.114691
 28 87 0.033058
 28 88 0.033058
 28 98 0.033058
 28 99 0.033058
 28 110 0.033058
 28 111 0.081633
 28 120 0.033058
 28 328 0.444444
 28 459 0.033058
 28 463 0.033058
 28 488 0.033058
 29 34 0.049383
 29 36 1.000000
 29 40 0.444444
 29 45 0.049383
 29 49 0.049383
 29 62 0.049383
 29 65 0.049383
 29 71 0.444444
 30 33 0.062500
 30 35 0.062500
 30 48 0.160000
 30 56 0.160000
 30 64 0.160000
 30 74 0.160000
 30 83 0.062500
 30 84 0.062500
 30 109 0.160000
 30 113 0.160000
 30 564 0.062500
 30 566 0.062500
 30 567 0.062500
 30 844 0.160000
 31 32 0.444444
 31 54 0.444444
 31 58 0.444444
 31 159 0.444444
 31 509 0.111111
 31 514 0.111111
 31 520 0.111111
 31 669 0.111111
 31 670 0.111111
 32 101 0.444444
 32 138 0.160000
 32 148 0.160000
 32 157 0.160000
 32 159 0.444444
 32 535 0.444444
 32 673 0.160000
 32 693 0.444444
 33 35 0.062500
 33 83 0.062500
 33 84 0.062500
 33 490 0.081633
 33 508 0.081633
 33 513 0.081633
 33 564 0.062500
 33 566 0.062500
 33 567 0.062500
 33 572 0.081633
 33 845 0.081633
 34 45 0.049383
 34 49 0.049383
 34 62 0.049383
 34 64 0.250000
 34 65 0.049383
 34 673 1.000000
 35 83 0.062500
 35 84 0.062500
 35 118 0.250000
 35 143 0.250000
 35 465 0.444444
 35 564 0.062500
 35 566 0.062500
 35 567 0.062500
 35 843 0.444444
 36 117 0.250000
 36 146 0.250000
